"gnd_id","author","title","date"
"http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Sherlock Holmes - D…",2013
"http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Sherlock Holmes - D…",2013
"http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2013
"http://d-nb.info/gnd/118624822","Mark Twain","Short Stories",2013
"http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2012
"http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2012
"http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2012
"http://d-nb.info/gnd/118621483","William Makepeace T…","Jahrmarkt der Eitel…",2012
"http://d-nb.info/gnd/118621483","William Makepeace T…","Jahrmarkt der Eitel…",2012
"http://d-nb.info/gnd/118505173","Jane Austen","Edgar und Emma",2011
"http://d-nb.info/gnd/118505173","Jane Austen","Die schöne Cassandra",2011
"http://d-nb.info/gnd/118561960","Alexander Kielland","Hellgrün ist die Ho…",2011
"http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010
"http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010
"http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010
"http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010
"http://d-nb.info/gnd/118809709","Herman Bang","Novellen und Skizze…",2010
"http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010
"http://d-nb.info/gnd/133985113","Johannes Dose","Der Muttersohn – Ba…",2010
"http://d-nb.info/gnd/133985113","Johannes Dose","Der Muttersohn – Ba…",2010
"http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Die fünf Orangenker…",2009
"http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Das leere Haus",2009
"http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Das Diadem aus Bery…",2007
"http://d-nb.info/gnd/118809709","Herman Bang","Zehn Jahre – Erinne…",2007
"http://d-nb.info/gnd/119481006","Jeanne-Marie Leprin…","La Belle et la bête",2006
"http://d-nb.info/gnd/118624822","Mark Twain","Eine Pferdegeschich…",2005
"http://d-nb.info/gnd/118553739","Ödön von Horváth","Himmelwärts und and…",2001
"http://d-nb.info/gnd/118549553","Johann Gottfried He…","Italienische Reise",1988
"http://d-nb.info/gnd/118553739","Ödön von Horváth","Geschichten aus dem…",1976
"http://d-nb.info/gnd/116211946","Victor Auburtin","Sylt 1921",1973
"http://d-nb.info/gnd/118618725","Theodor Storm","Sylter Novelle",1973
"http://d-nb.info/gnd/118701592","Walther Harich","Der Aufstieg",1972
"http://d-nb.info/gnd/104671874","Hans Theis","Sagen aus der Eifel",1966
"http://d-nb.info/gnd/117208612","Georg Weerth","Skizzen aus dem soz…",1957
"http://d-nb.info/gnd/118540238","Johann Wolfgang von…","Die Wahlverwandtsch…",1951
"http://d-nb.info/gnd/118506617","Ernst Barlach","Der gestohlene Mond",1948
"http://d-nb.info/gnd/116288582","Alma Johanna Koenig","Nero - der jugendli…",1947
"http://d-nb.info/gnd/118977113","Ludwig Steub","Sommer in Oberbayern",1947
"http://d-nb.info/gnd/118535560","Egon Friedell","Die Rückkehr der Ze…",1946
"http://d-nb.info/gnd/118535560","Egon Friedell","Die Reise mit der Z…",1946
"http://d-nb.info/gnd/118637479","Stefan Zweig","Die Welt von Gestern",1944
"http://d-nb.info/gnd/118637479","Stefan Zweig","Amerigo. Die Geschi…",1944
"http://d-nb.info/gnd/118637479","Stefan Zweig","Schachnovelle",1943
"http://d-nb.info/gnd/118535315","Sigmund Freud","Psychopathische Per…",1942
"http://d-nb.info/gnd/118637231","Albin Zollinger","Der Fröschlacher Ku…",1941
"http://d-nb.info/gnd/118637479","Stefan Zweig","Brasilien",1941
"http://d-nb.info/gnd/118637231","Albin Zollinger","Pfannenstiel",1940
"http://d-nb.info/gnd/118997718","Annemarie Schwarzen…","Das glückliche Tal",1940
"http://d-nb.info/gnd/118535315","Sigmund Freud","Die Ichspaltung im …",1940
"http://d-nb.info/gnd/118535315","Sigmund Freud","Die psychoanalytisc…",1940
"http://d-nb.info/gnd/118598538","Friedrich Ratzel","Erdenmacht und Völk…",1940
"http://d-nb.info/gnd/118723618","Kurt Kluge","Die Zaubergeige",1940
"http://d-nb.info/gnd/118535315","Sigmund Freud","Der Mann Moses und …",1939
"http://d-nb.info/gnd/118637479","Stefan Zweig","Ungeduld des Herzens",1939
"http://d-nb.info/gnd/118637479","Stefan Zweig","Maria Stuart",1939
"http://d-nb.info/gnd/118630458","Ernst Weiß","Der Verführer",1938
"http://d-nb.info/gnd/118603140","Joseph Roth","Die Kapuzinergruft",1938
"http://d-nb.info/gnd/118723618","Kurt Kluge","Der Herr Kortüm",1938
"http://d-nb.info/gnd/118728814","Oskar Loerke","Anton Bruckner",1938
"http://d-nb.info/gnd/118637479","Stefan Zweig","Triumph und Tragik …",1938
"http://d-nb.info/gnd/118637479","Stefan Zweig","Magellan",1938
"http://d-nb.info/gnd/118535315","Sigmund Freud","Die endliche und di…",1937
"http://d-nb.info/gnd/118535315","Sigmund Freud","Konstruktionen in d…",1937
"http://d-nb.info/gnd/118563238","Jochen Klepper","Der Vater",1937
"http://d-nb.info/gnd/118603140","Joseph Roth","Das falsche Gewicht",1937
"http://d-nb.info/gnd/118585916","Robert Musil","Über die Dummheit",1937
"http://d-nb.info/gnd/118795392","Scholem Alejchem","Eine Hochzeit ohne …",1936
"http://d-nb.info/gnd/118535560","Egon Friedell","Kulturgeschichte de…",1936
"http://d-nb.info/gnd/118623230","Ernst Toller","Eine Jugend in Deut…",1936
"http://d-nb.info/gnd/118535315","Sigmund Freud","Brief an Romain Rol…",1936
"http://d-nb.info/gnd/118731254","Hugo Marti","Eine Kindheit",1936
"http://d-nb.info/gnd/118862944","Korfiz Holm","Mehr Glück als Vers…",1936
"http://d-nb.info/gnd/118603140","Joseph Roth","Beichte eines Mörde…",1936
"http://d-nb.info/gnd/118585916","Robert Musil","Nachlaß zu Lebzeiten",1936
"http://d-nb.info/gnd/133251381","Robert Seitz","Die Liebe, alt wie …",1936
"http://d-nb.info/gnd/118605526","Rahel Sanzara","Die glückliche Hand",1936
"http://d-nb.info/gnd/118637479","Stefan Zweig","Castellio gegen Cal…",1936
"http://d-nb.info/gnd/118737732","Fritz Müller-Parten…","Die Firma",1935
"http://d-nb.info/gnd/118731254","Hugo Marti","Rudolf von Tavel - …",1935
"http://d-nb.info/gnd/118731254","Hugo Marti","Davoser Stundenbuch",1935
"http://d-nb.info/gnd/118723618","Kurt Kluge","Die gefälschte Gött…",1935
"http://d-nb.info/gnd/1027233732","Oswald Levett","Papilio Mariposa",1935
"http://d-nb.info/gnd/116836776","Manfred Schneider","Don Francsico de Go…",1935
"http://d-nb.info/gnd/133251381","Robert Seitz","Die Häuser am Kolk",1935
"http://d-nb.info/gnd/118997718","Annemarie Schwarzen…","Winter in Vorderasi…",1934
"http://d-nb.info/gnd/118530909","Paul Ernst","Tagebuch eines Dich…",1934
"http://d-nb.info/gnd/118630458","Ernst Weiß","Die Vaterlosen oder…",1934
"http://d-nb.info/gnd/11861956X","Eduard Stucken","Die weißen Götter –…",1934
"http://d-nb.info/gnd/118685619","Kurt Faber","Unter Eskimos und W…",1934
